Designator,Center-X,Center-Y,Rotation,Layer
U5,78.175,-103.4914,90,B
U4,95.675,-103.4914,90,B
U1,206.0812,-105.9214,0,B
R7,17.125,-94.1214,0,B
C2,23.2,-80.2414,0,B
R4,29.4,-90.0694,0,B
R5,29.425,-87.5294,0,B
C5,57.9,-84.4414,0,B
R1,66.175,-107.8214,0,B
C6,98.4,-109.9914,0,B
C4,132.65,-94.9914,0,B
R8,152.95,-35.9914,0,B
C1,200.609,-96.7224,0,B
C3,62.675,-103.7414,90,B
C7,84.925,-104.5164,90,B
R3,134.925,-100.7164,90,B
R2,137.425,-100.7664,90,B
R10,143.675,-37.4664,90,B
R9,143.675,-33.2664,90,B
R6,17.15,-97.1214,0,B
F1,29.675,-80.9914,0,B
D1,30.812,10.0556,90,B
D8,35.765,-9.2014,90,B
D14,37.67,-28.2514,90,B
D2,49.608,10.0556,90,B
D20,53.425,-47.2414,90,B
D9,59.895,-9.1214,90,B
D27,60.276,-64.8274,90,B
D15,63.705,-28.1714,90,B
D3,68.785,9.9286,90,B
D30,130.01203,-62.4454,90,B
D21,73.992,-46.3324,90,B
D10,78.945,-8.5664,90,B
D16,82.628,-28.0444,90,B
D4,87.835,9.8486,90,B
D28,88.925,-64.5664,90,B
D22,92.915,-46.5864,90,B
D11,97.995,-8.4864,90,B
D17,101.932,-28.0444,90,B
D5,106.885,9.2936,90,B
D31,110.675,-96.9914,90,B
D23,111.584,-48.8724,90,B
D29,116.664,-64.7414,90,B
D12,117.045,-9.1214,90,B
D24,122.925,-38.9914,90,B
D6,125.935,9.8486,90,B
D13,129.745,-19.2814,90,B
D55,174.95,-51.0664,90,B
D40,179.95,-13.2414,90,B
D48,184.95,-30.0664,90,B
D63,187.45,-80.7414,90,B
D33,189.67,7.9286,90,B
D56,193.95,-49.0664,90,B
D41,198.95,-10.7414,90,B
D49,203.95,-29.9164,90,B
D34,208.95,7.9336,90,B
D57,212.95,-49.2414,90,B
D42,217.95,-11.0664,90,B
D50,222.95,-30.2414,90,B
D35,227.95,7.7586,90,B
D58,231.95,-49.0664,90,B
D43,236.95,-11.0664,90,B
D51,241.95,-30.0664,90,B
D36,246.95,7.9336,90,B
D59,250.95,-49.2414,90,B
D44,255.95,-11.2414,90,B
D52,260.95,-30.0664,90,B
D37,265.95,7.9336,90,B
D68,269.95,-66.7414,90,B
D60,269.95,-49.0664,90,B
D45,274.95,-11.0664,90,B
D53,279.95,-30.0664,90,B
D38,284.45,8.5836,90,B
D70,288.45,-66.5664,90,B
D61,288.95,-49.7414,90,B
D46,293.95,-11.2414,90,B
D39,293.95,5.0836,90,B
D47,298.95,-11.2414,90,B
D62,307.45,-49.4164,90,B
D32,110.725,-84.6414,0,B
D18,115.949,-22.6634,0,B
D19,125.855,-25.0764,0,B
D50,130.079,-62.7954,0,B
D25,135.46,-43.4914,0,B
D7,136.175,1.5936,0,B
D64,182.625,-64.7414,0,B
D65,211.125,-64.7414,0,B
D66,229.95,-62.7414,0,B
D67,248.95,-62.7414,0,B
D54,295.775,-24.7414,0,B
D69,305.45,-62.7414,0,B
D26,33.675,-64.6204,90,B
D100,36.925,-80.9914,0,B
X1,53.175,-92.2914,90,B
U2,62.675,-92.4914,90,B
,62.675,-92.4914,0,B
U3,132.425,-91.7414,180,B
SW100,58.42,-109.1964,0,B
J1,13.175,-105.3914,0,B
J5,17.375,-86.9914,0,B
J6,140.425,-85.7414,0,B
J2,140.425,-102.7414,0,B
J3,165.425,-101.7414,0,B
J4,235.425,-104.8914,0,B
